2023-02-16, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -7232.70, Paid vendor invoice for goods received.
2023-02-16, inflow , Kelly Hebert        , GB80OIGZ65757831943171,  8726.94, Received payment from customer for services rendered.
2023-04-23, inflow , Becky Medina        , GB98BLJX79168691570989,  3406.94, Received interest income from bank account.
2023-02-23, outflow, Sarah Chan          , GB31NXXM36348775621734,  -443.57, Paid monthly rent for office space.
2023-02-15, inflow , Michael Sutton      , GB89NCWE38453389542012,  9828.47, Received payment from customer for services rendered.
2023-04-11, outflow, Mary Taylor         , GB41EZNB43255584510537,  -696.44, Paid vendor invoice for goods received.
2023-03-29, outflow, Rebecca Sanchez     , GB09MOXA75652634210186, -8587.87, Paid monthly rent for office space.
2023-03-23, inflow , Brandy Petty        , GB32RUKK11183568733701,  3138.16, Received payment from customer for services rendered.
2023-02-05, inflow , Matthew Warren      , GB63OMVM85838636221450,  6773.79, Received investment income from stock portfolio.
2023-01-21, outflow, Michael Coleman     , GB24UKNL34245649292041, -4137.56, Paid vendor invoice for goods received.
2023-04-08, inflow , Becky Medina        , GB98BLJX79168691570989,  5250.71, Received interest income from bank account.
2023-01-17, outflow, Madeline Johnson    , GB07LWCJ51689235159237, -5380.39, Withdrew cash for petty cash fund.
2023-04-29, outflow, Brandy Petty        , GB32RUKK11183568733701, -4866.48, Paid monthly rent for office space.
2023-02-23, inflow , Kelly Hebert        , GB80OIGZ65757831943171,  3082.04, Transferred funds from another account for operating expenses.
2023-02-18, outflow, Corey Taylor        , GB31DBZF60117209012128, -2814.78, Withdrew cash for petty cash fund.
2023-04-11, inflow , Sarah Chan          , GB31NXXM36348775621734,  4722.16, Received payment from customer for services rendered.
2023-02-28, inflow , Timothy Butler      , GB65DBNZ98827190897764,  3981.97, Received interest income from bank account.
2023-02-28, inflow , Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  8583.86, Received investment income from stock portfolio.
2023-02-13, outflow, Becky Medina        , GB98BLJX79168691570989, -3895.62, Paid vendor invoice for goods received.
2023-04-10, outflow, Becky Medina        , GB98BLJX79168691570989, -2837.55, Withdrew cash for petty cash fund.
2023-04-16, inflow , Mrs. Priscilla Jones, GB45WASM03618775326398,  5270.14, Received refund from vendor for overpayment.
2023-04-11, inflow , John Lee            , GB08ZSFW57682861480796,  8739.96, Received payment from customer for services rendered.
2023-04-21, outflow, Mrs. Priscilla Jones, GB45WASM03618775326398, -5936.71, Withdrew cash for petty cash fund.
2023-04-15, inflow , Jason Lynch         , GB36TYVN52756209723454,  5256.75, Transferred funds from another account for operating expenses.
2023-02-18, outflow, Rebecca Sanchez     , GB09MOXA75652634210186, -1746.35, Paid monthly rent for office space.
2023-04-11, inflow , Jason Lynch         , GB36TYVN52756209723454,  3834.54, Received interest income from bank account.
2023-01-30, inflow , Scott Young         , GB86BOFO25352976019831,  1800.03, Received investment income from stock portfolio.
2023-03-08, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -8348.29, Transferred funds to another account for investment.
2023-04-16, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -5809.83, Paid monthly rent for office space.
2023-04-11, outflow, Michael Coleman     , GB24UKNL34245649292041, -3460.15, Transferred funds to another account for investment.
2023-04-08, inflow , Jennifer Hull       , GB28UAUN38172059435273,  2776.62, Received interest income from bank account.
2023-03-01, outflow, Timothy Butler      , GB65DBNZ98827190897764, -9294.89, Paid monthly rent for office space.
2023-03-31, outflow, Jason Lynch         , GB36TYVN52756209723454, -2584.42, Transferred funds to another account for investment.
2023-04-03, outflow, Carol Thompson      , GB74UOKU08956675898970, -8711.88, Transferred funds to another account for investment.
2023-02-16, outflow, Mrs. Priscilla Jones, GB45WASM03618775326398, -9386.27, Withdrew cash for petty cash fund.
2023-04-01, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  3415.73, Received refund from vendor for overpayment.
2023-02-23, inflow , Michael Coleman     , GB24UKNL34245649292041,   769.22, Received refund from vendor for overpayment.
2023-03-29, outflow, Sarah Gonzalez      , GB09THAU02669518606808, -8861.68, Paid monthly rent for office space.
2023-03-25, outflow, Madeline Johnson    , GB07LWCJ51689235159237, -4459.32, Paid vendor invoice for goods received.
2023-02-09, inflow , Matthew Warren      , GB63OMVM85838636221450,  5681.07, Received refund from vendor for overpayment.
2023-02-16, outflow, Brandy Petty        , GB32RUKK11183568733701, -6391.54, Issued refund to customer for returned merchandise.
2023-04-11, outflow, Scott Young         , GB86BOFO25352976019831, -8390.43, Paid vendor invoice for goods received.
2023-02-18, outflow, Sarah Gonzalez      , GB09THAU02669518606808, -6152.12, Paid vendor invoice for goods received.
2023-02-28, outflow, Rebecca Sanchez     , GB09MOXA75652634210186, -1822.35, Withdrew cash for petty cash fund.
2023-03-25, inflow , Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  3336.31, Transferred funds from another account for operating expenses.
2023-03-08, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  -981.09, Issued refund to customer for returned merchandise.
2023-01-30, inflow , Karen Armstrong     , GB56PADX04568068853264,   827.54, Received refund from vendor for overpayment.
2023-03-07, outflow, Scott Young         , GB86BOFO25352976019831, -5097.39, Transferred funds to another account for investment.
2023-03-08, outflow, Mrs. Priscilla Jones, GB45WASM03618775326398, -2321.22, Paid vendor invoice for goods received.
2023-04-11, inflow , Michael Sutton      , GB89NCWE38453389542012,   759.69, Received refund from vendor for overpayment.
2023-04-11, inflow , Timothy Butler      , GB65DBNZ98827190897764,  5573.01, Transferred funds from another account for operating expenses.
2023-03-01, inflow , Matthew Warren      , GB63OMVM85838636221450,  8975.08, Transferred funds from another account for operating expenses.
2023-01-09, inflow , Andrea Chase        , GB30XLZO96430785089674,  9893.56, Transferred funds from another account for operating expenses.
2023-03-23, inflow , Mrs. Priscilla Jones, GB45WASM03618775326398,  2298.24, Received payment from customer for services rendered.
2023-04-11, outflow, Mary Taylor         , GB41EZNB43255584510537, -9901.84, Issued refund to customer for returned merchandise.
2023-01-21, inflow , Jason Lynch         , GB36TYVN52756209723454,  4941.41, Received payment from customer for services rendered.
2023-04-16, outflow, Brandy Petty        , GB32RUKK11183568733701, -4882.20, Paid vendor invoice for goods received.
2023-02-16, outflow, Michael Coleman     , GB24UKNL34245649292041, -4106.66, Transferred funds to another account for investment.
2023-04-08, outflow, Madeline Johnson    , GB07LWCJ51689235159237, -5575.56, Paid monthly rent for office space.
2023-02-13, inflow , Tiffany King        , GB47RXWF60856785587131,  2230.79, Received interest income from bank account.
2023-02-18, outflow, Michael Sutton      , GB89NCWE38453389542012, -1719.19, Transferred funds to another account for investment.
2023-02-15, outflow, Jennifer Hull       , GB28UAUN38172059435273, -8543.08, Paid monthly rent for office space.
2023-04-19, outflow, Madeline Johnson    , GB07LWCJ51689235159237, -3663.22, Issued refund to customer for returned merchandise.
2023-04-21, outflow, Sarah Chan          , GB31NXXM36348775621734, -3104.16, Paid vendor invoice for goods received.
2023-01-30, inflow , Sarah Gonzalez      , GB09THAU02669518606808,  1237.57, Received interest income from bank account.
2023-04-25, inflow , Tiffany King        , GB47RXWF60856785587131,  7746.58, Received interest income from bank account.
2023-04-21, inflow , Matthew Warren      , GB63OMVM85838636221450,  3466.86, Received payment from customer for services rendered.
2023-01-09, outflow, Corey Taylor        , GB31DBZF60117209012128, -5319.64, Withdrew cash for petty cash fund.
2023-02-18, outflow, Jennifer Hull       , GB28UAUN38172059435273, -7053.99, Paid monthly rent for office space.
2023-02-15, outflow, Sarah Gonzalez      , GB09THAU02669518606808, -3081.80, Paid monthly rent for office space.
2023-01-01, inflow , Madeline Johnson    , GB07LWCJ51689235159237,  1741.18, Received refund from vendor for overpayment.
2023-03-23, inflow , Tiffany King        , GB47RXWF60856785587131,  1030.16, Received refund from vendor for overpayment.
2023-04-24, outflow, Michael Sutton      , GB89NCWE38453389542012, -5807.19, Paid vendor invoice for goods received.
2023-04-16, outflow, Andrea Chase        , GB30XLZO96430785089674, -9207.08, Issued refund to customer for returned merchandise.
2023-04-21, outflow, Matthew Dorsey      , GB24DRMC35322496055362,  -620.32, Paid vendor invoice for goods received.
2023-02-28, outflow, Corey Taylor        , GB31DBZF60117209012128, -5258.17, Paid vendor invoice for goods received.
2023-03-26, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -8827.68, Paid vendor invoice for goods received.
2023-04-23, inflow , Timothy Butler      , GB65DBNZ98827190897764,  7662.05, Received refund from vendor for overpayment.
2023-03-26, inflow , Michael Coleman     , GB24UKNL34245649292041,  7313.25, Received payment from customer for services rendered.
2023-04-21, inflow , Madeline Johnson    , GB07LWCJ51689235159237,  9732.94, Received payment from customer for services rendered.
2023-03-10, inflow , Tiffany King        , GB47RXWF60856785587131,  9594.37, Received interest income from bank account.
2023-04-03, inflow , Mary Taylor         , GB41EZNB43255584510537,  9952.05, Received investment income from stock portfolio.
2023-01-30, inflow , Matthew Warren      , GB63OMVM85838636221450,   709.27, Transferred funds from another account for operating expenses.
2023-01-01, inflow , Andrew Robinson     , GB11WZXY29105854629139,  5228.25, Received interest income from bank account.
2023-03-23, inflow , Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  6033.10, Transferred funds from another account for operating expenses.
2023-03-08, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -5580.02, Paid vendor invoice for goods received.
2023-04-15, inflow , Carol Thompson      , GB74UOKU08956675898970,  2886.30, Received interest income from bank account.
2023-01-30, outflow, Mary Taylor         , GB41EZNB43255584510537, -9605.78, Issued refund to customer for returned merchandise.
2023-04-17, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -8065.68, Issued refund to customer for returned merchandise.
2023-03-10, outflow, Karen Armstrong     , GB56PADX04568068853264, -8832.38, Paid monthly rent for office space.
2023-02-18, inflow , Sarah Gonzalez      , GB09THAU02669518606808,   403.64, Received investment income from stock portfolio.
2023-03-09, outflow, Timothy Butler      , GB65DBNZ98827190897764, -2522.71, Paid monthly rent for office space.
2023-04-25, outflow, Rebecca Sanchez     , GB09MOXA75652634210186, -9349.51, Paid vendor invoice for goods received.
2023-02-18, inflow , Sarah Chan          , GB31NXXM36348775621734,  5395.50, Received payment from customer for services rendered.
2023-04-25, inflow , Andrew Robinson     , GB11WZXY29105854629139,  8402.09, Received payment from customer for services rendered.
2023-04-11, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  8644.04, Received investment income from stock portfolio.
2023-04-11, inflow , Brandy Petty        , GB32RUKK11183568733701,  6316.21, Transferred funds from another account for operating expenses.
2023-02-21, inflow , Karen Armstrong     , GB56PADX04568068853264,  8493.98, Received payment from customer for services rendered.
2023-02-21, inflow , Corey Taylor        , GB31DBZF60117209012128,  6809.61, Received refund from vendor for overpayment.
2023-03-08, outflow, Andrea Chase        , GB30XLZO96430785089674, -3616.17, Issued refund to customer for returned merchandise.
2023-01-01, outflow, Timothy Butler      , GB65DBNZ98827190897764, -3721.17, Withdrew cash for petty cash fund.
2023-01-01, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -4931.97, Paid vendor invoice for goods received.
2023-04-17, outflow, Brandy Petty        , GB32RUKK11183568733701, -6023.70, Transferred funds to another account for investment.
2023-04-08, inflow , Brandy Petty        , GB32RUKK11183568733701,  4000.72, Transferred funds from another account for operating expenses.
2023-01-01, inflow , Mary Taylor         , GB41EZNB43255584510537,  4759.17, Received payment from customer for services rendered.
2023-01-23, inflow , Timothy Butler      , GB65DBNZ98827190897764,  2131.49, Received payment from customer for services rendered.
2023-02-23, inflow , Sarah Chan          , GB31NXXM36348775621734,  9735.23, Received interest income from bank account.
2023-03-09, inflow , Andrea Chase        , GB30XLZO96430785089674,  6759.87, Transferred funds from another account for operating expenses.
2023-02-21, outflow, Jason Lynch         , GB36TYVN52756209723454, -1182.57, Paid monthly rent for office space.
2023-04-21, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964,  -164.95, Withdrew cash for petty cash fund.
2023-03-31, inflow , Sarah Chan          , GB31NXXM36348775621734,  6784.45, Transferred funds from another account for operating expenses.
2023-04-24, inflow , Sarah Gonzalez      , GB09THAU02669518606808,  4695.37, Received interest income from bank account.
2023-04-21, inflow , Corey Taylor        , GB31DBZF60117209012128,  6163.99, Received interest income from bank account.
2023-03-26, outflow, Jennifer Hull       , GB28UAUN38172059435273, -7863.23, Issued refund to customer for returned merchandise.
2023-04-11, outflow, Michael Coleman     , GB24UKNL34245649292041, -2801.14, Issued refund to customer for returned merchandise.
2023-02-21, outflow, Andrea Chase        , GB30XLZO96430785089674, -9336.61, Transferred funds to another account for investment.
2023-01-23, outflow, Mary Taylor         , GB41EZNB43255584510537, -1120.30, Transferred funds to another account for investment.
2023-03-09, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -2121.92, Paid vendor invoice for goods received.
2023-01-23, inflow , John Lee            , GB08ZSFW57682861480796,  3206.61, Received investment income from stock portfolio.
2023-02-22, inflow , Sarah Gonzalez      , GB09THAU02669518606808,  6644.29, Received investment income from stock portfolio.
2023-03-01, outflow, Brandy Petty        , GB32RUKK11183568733701, -1704.84, Paid vendor invoice for goods received.
2023-03-08, inflow , Carol Thompson      , GB74UOKU08956675898970,  3880.41, Received interest income from bank account.
2023-02-21, outflow, Sarah Chan          , GB31NXXM36348775621734,  -492.99, Issued refund to customer for returned merchandise.
2023-03-08, outflow, Sarah Chan          , GB31NXXM36348775621734, -4448.50, Withdrew cash for petty cash fund.
2023-02-23, inflow , Corey Taylor        , GB31DBZF60117209012128,   675.08, Received refund from vendor for overpayment.
2023-04-11, inflow , Kelly Hebert        , GB80OIGZ65757831943171,  7801.59, Received payment from customer for services rendered.
2023-02-18, inflow , Jason Lynch         , GB36TYVN52756209723454,  4412.00, Received investment income from stock portfolio.
2023-01-23, outflow, Andrea Chase        , GB30XLZO96430785089674, -6663.18, Paid monthly rent for office space.
2023-01-23, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  7785.29, Received refund from vendor for overpayment.
2023-04-21, outflow, Jason Lynch         , GB36TYVN52756209723454, -9050.17, Issued refund to customer for returned merchandise.
2023-04-21, inflow , Madeline Johnson    , GB07LWCJ51689235159237,   879.96, Received interest income from bank account.
2023-04-08, outflow, Corey Taylor        , GB31DBZF60117209012128, -8055.29, Issued refund to customer for returned merchandise.
2023-03-08, outflow, Kelly Hebert        , GB80OIGZ65757831943171,   -64.36, Withdrew cash for petty cash fund.
2023-01-17, outflow, Jason Lynch         , GB36TYVN52756209723454, -7905.24, Issued refund to customer for returned merchandise.
2023-02-22, inflow , Timothy Butler      , GB65DBNZ98827190897764,  5466.29, Received payment from customer for services rendered.
2023-04-08, outflow, Corey Taylor        , GB31DBZF60117209012128, -5105.80, Transferred funds to another account for investment.
2023-01-17, outflow, Andrea Chase        , GB30XLZO96430785089674, -8671.68, Transferred funds to another account for investment.
2023-04-03, inflow , Jason Lynch         , GB36TYVN52756209723454,  4995.82, Transferred funds from another account for operating expenses.
2023-02-13, inflow , Karen Armstrong     , GB56PADX04568068853264,  7142.02, Received payment from customer for services rendered.
2023-04-08, outflow, Corey Taylor        , GB31DBZF60117209012128, -9579.11, Transferred funds to another account for investment.
2023-04-01, inflow , Scott Young         , GB86BOFO25352976019831,  5262.00, Received refund from vendor for overpayment.
2023-03-07, inflow , Brandy Petty        , GB32RUKK11183568733701,  2395.67, Received refund from vendor for overpayment.
2023-02-18, inflow , Mary Taylor         , GB41EZNB43255584510537,  9926.37, Received payment from customer for services rendered.
2023-01-08, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,   654.97, Received refund from vendor for overpayment.
2023-04-03, outflow, Corey Taylor        , GB31DBZF60117209012128,  -337.60, Paid monthly rent for office space.
2023-04-21, inflow , Karen Armstrong     , GB56PADX04568068853264,  4453.33, Received investment income from stock portfolio.
2023-04-21, inflow , Karen Armstrong     , GB56PADX04568068853264,  5092.32, Transferred funds from another account for operating expenses.
2023-02-15, inflow , Karen Armstrong     , GB56PADX04568068853264,  3128.96, Received payment from customer for services rendered.
2023-03-07, inflow , Michael Coleman     , GB24UKNL34245649292041,  9582.72, Transferred funds from another account for operating expenses.
2023-04-21, outflow, Andrew Robinson     , GB11WZXY29105854629139, -4538.38, Transferred funds to another account for investment.
2023-02-16, outflow, Carol Thompson      , GB74UOKU08956675898970, -5597.22, Paid monthly rent for office space.
2023-02-15, inflow , Michael Sutton      , GB89NCWE38453389542012,  4573.93, Received refund from vendor for overpayment.
2023-03-31, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964, -6872.09, Issued refund to customer for returned merchandise.
2023-02-21, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -6485.34, Issued refund to customer for returned merchandise.
2023-04-24, inflow , Scott Young         , GB86BOFO25352976019831,  2717.99, Received investment income from stock portfolio.
2023-02-15, inflow , Becky Medina        , GB98BLJX79168691570989,  3715.11, Received investment income from stock portfolio.
2023-02-23, inflow , Matthew Dorsey      , GB24DRMC35322496055362,   696.67, Received interest income from bank account.
2023-02-13, inflow , Michael Coleman     , GB24UKNL34245649292041,  4892.25, Received investment income from stock portfolio.
2023-01-09, inflow , Matthew Dorsey      , GB24DRMC35322496055362,   833.35, Received interest income from bank account.
2023-01-17, inflow , Becky Medina        , GB98BLJX79168691570989,  6304.58, Received payment from customer for services rendered.
2023-03-08, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -8140.80, Issued refund to customer for returned merchandise.
2023-03-09, inflow , Andrew Robinson     , GB11WZXY29105854629139,  6895.71, Transferred funds from another account for operating expenses.
2023-03-23, outflow, Sarah Gonzalez      , GB09THAU02669518606808, -8662.05, Withdrew cash for petty cash fund.
2023-04-11, inflow , Mary Taylor         , GB41EZNB43255584510537,  8934.74, Received investment income from stock portfolio.
2023-02-18, inflow , Michael Sutton      , GB89NCWE38453389542012,  8025.35, Received payment from customer for services rendered.
2023-01-23, inflow , Becky Medina        , GB98BLJX79168691570989,  8973.33, Received payment from customer for services rendered.
2023-02-21, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  7347.87, Received refund from vendor for overpayment.
2023-04-15, outflow, Rebecca Sanchez     , GB09MOXA75652634210186, -3665.21, Paid monthly rent for office space.
2023-03-09, inflow , Becky Medina        , GB98BLJX79168691570989,   314.34, Received investment income from stock portfolio.
2023-01-01, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -4585.24, Transferred funds to another account for investment.
2023-04-24, inflow , Sarah Gonzalez      , GB09THAU02669518606808,  8872.82, Received interest income from bank account.
2023-02-21, inflow , Mary Taylor         , GB41EZNB43255584510537,  4919.25, Transferred funds from another account for operating expenses.
2023-02-21, outflow, Madeline Johnson    , GB07LWCJ51689235159237, -5493.23, Transferred funds to another account for investment.
2023-03-09, outflow, Timothy Butler      , GB65DBNZ98827190897764, -5553.73, Transferred funds to another account for investment.
2023-01-30, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  1570.62, Received investment income from stock portfolio.
2023-01-01, inflow , Sarah Chan          , GB31NXXM36348775621734,   810.08, Received refund from vendor for overpayment.
2023-04-03, outflow, John Lee            , GB08ZSFW57682861480796, -7979.57, Paid vendor invoice for goods received.
2023-01-08, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -7853.73, Issued refund to customer for returned merchandise.
2023-01-08, outflow, Andrea Chase        , GB30XLZO96430785089674, -6979.97, Paid vendor invoice for goods received.
2023-04-19, outflow, Andrew Robinson     , GB11WZXY29105854629139, -8811.12, Paid monthly rent for office space.
2023-04-19, inflow , Becky Medina        , GB98BLJX79168691570989,  9266.96, Received refund from vendor for overpayment.
2023-03-31, inflow , Mary Taylor         , GB41EZNB43255584510537,  7132.44, Received interest income from bank account.
2023-03-10, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  4747.79, Received refund from vendor for overpayment.
2023-03-01, inflow , Andrew Robinson     , GB11WZXY29105854629139,  5928.16, Received payment from customer for services rendered.
2023-02-05, inflow , Timothy Butler      , GB65DBNZ98827190897764,  1827.32, Received interest income from bank account.
2023-02-15, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  1349.38, Received refund from vendor for overpayment.
2023-01-01, outflow, Becky Medina        , GB98BLJX79168691570989, -4335.85, Paid monthly rent for office space.
2023-04-17, inflow , Mary Taylor         , GB41EZNB43255584510537,  5968.06, Transferred funds from another account for operating expenses.
2023-04-19, outflow, Brandy Petty        , GB32RUKK11183568733701, -1298.17, Withdrew cash for petty cash fund.
2023-04-23, inflow , Sarah Chan          , GB31NXXM36348775621734,  3474.53, Received interest income from bank account.
2023-04-11, outflow, Timothy Butler      , GB65DBNZ98827190897764, -1952.31, Withdrew cash for petty cash fund.
2023-04-24, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  8238.48, Received refund from vendor for overpayment.
2023-02-28, outflow, Scott Young         , GB86BOFO25352976019831,  -592.54, Issued refund to customer for returned merchandise.
2023-02-21, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964, -9326.81, Paid monthly rent for office space.
2023-02-16, inflow , Tiffany King        , GB47RXWF60856785587131,   134.88, Transferred funds from another account for operating expenses.
2023-02-18, inflow , Michael Sutton      , GB89NCWE38453389542012,   164.48, Transferred funds from another account for operating expenses.
2023-04-21, outflow, Andrea Chase        , GB30XLZO96430785089674, -9940.69, Issued refund to customer for returned merchandise.
2023-03-29, outflow, Brandy Petty        , GB32RUKK11183568733701, -1065.18, Withdrew cash for petty cash fund.
2023-04-23, outflow, Matthew Warren      , GB63OMVM85838636221450, -5536.41, Transferred funds to another account for investment.
2023-02-18, outflow, Corey Taylor        , GB31DBZF60117209012128, -3580.27, Paid vendor invoice for goods received.
2023-02-16, inflow , Sarah Chan          , GB31NXXM36348775621734,  2467.46, Received refund from vendor for overpayment.
2023-03-09, inflow , Mary Taylor         , GB41EZNB43255584510537,  4279.79, Received interest income from bank account.
2023-02-05, inflow , Mrs. Priscilla Jones, GB45WASM03618775326398,  8148.28, Received refund from vendor for overpayment.
2023-01-21, outflow, Andrea Chase        , GB30XLZO96430785089674,  -966.57, Withdrew cash for petty cash fund.
2023-02-16, outflow, Kelly Hebert        , GB80OIGZ65757831943171, -3815.73, Paid vendor invoice for goods received.
2023-02-22, inflow , Timothy Butler      , GB65DBNZ98827190897764,  6860.16, Transferred funds from another account for operating expenses.
2023-02-09, outflow, Scott Young         , GB86BOFO25352976019831, -3807.98, Issued refund to customer for returned merchandise.
2023-01-23, inflow , Sarah Gonzalez      , GB09THAU02669518606808,  6982.25, Received payment from customer for services rendered.
2023-01-08, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  4297.36, Received interest income from bank account.
2023-02-28, outflow, Scott Young         , GB86BOFO25352976019831, -1750.21, Paid monthly rent for office space.
2023-04-11, inflow , Mrs. Priscilla Jones, GB45WASM03618775326398,  2758.51, Received payment from customer for services rendered.
2023-03-08, outflow, Sarah Chan          , GB31NXXM36348775621734, -8211.00, Paid monthly rent for office space.
2023-04-16, inflow , Andrew Robinson     , GB11WZXY29105854629139,  2814.66, Received investment income from stock portfolio.
2023-02-15, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  6178.34, Transferred funds from another account for operating expenses.
2023-01-09, outflow, Andrea Chase        , GB30XLZO96430785089674, -4590.00, Issued refund to customer for returned merchandise.
2023-04-23, outflow, Scott Young         , GB86BOFO25352976019831, -3468.21, Withdrew cash for petty cash fund.
2023-02-23, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  6200.70, Received refund from vendor for overpayment.
2023-02-09, outflow, Andrew Robinson     , GB11WZXY29105854629139, -9155.27, Issued refund to customer for returned merchandise.
2023-04-11, inflow , Matthew Dorsey      , GB24DRMC35322496055362,  3535.32, Received investment income from stock portfolio.
2023-02-15, outflow, Karen Armstrong     , GB56PADX04568068853264, -3663.64, Issued refund to customer for returned merchandise.
2023-02-18, inflow , Michael Sutton      , GB89NCWE38453389542012,  4162.23, Received payment from customer for services rendered.
2023-02-09, outflow, Andrew Robinson     , GB11WZXY29105854629139, -3049.44, Paid vendor invoice for goods received.
2023-01-21, inflow , Mary Taylor         , GB41EZNB43255584510537,  1989.57, Transferred funds from another account for operating expenses.
2023-03-23, inflow , Sarah Chan          , GB31NXXM36348775621734,  2636.02, Transferred funds from another account for operating expenses.
2023-04-03, inflow , John Lee            , GB08ZSFW57682861480796,  6721.86, Received investment income from stock portfolio.
2023-04-10, inflow , Carol Thompson      , GB74UOKU08956675898970,  8164.29, Received payment from customer for services rendered.
2023-02-21, outflow, Sarah Gonzalez      , GB09THAU02669518606808, -1690.77, Paid monthly rent for office space.
2023-04-23, inflow , Madeline Johnson    , GB07LWCJ51689235159237,   748.74, Received payment from customer for services rendered.
2023-03-08, inflow , Karen Armstrong     , GB56PADX04568068853264,  4472.40, Received interest income from bank account.
2023-02-16, outflow, Jennifer Hull       , GB28UAUN38172059435273, -3985.77, Paid vendor invoice for goods received.
2023-02-28, outflow, Scott Young         , GB86BOFO25352976019831, -6255.26, Paid vendor invoice for goods received.
2023-02-21, outflow, Jason Lynch         , GB36TYVN52756209723454, -4471.53, Transferred funds to another account for investment.
2023-02-16, inflow , Corey Taylor        , GB31DBZF60117209012128,   929.68, Received payment from customer for services rendered.
2023-01-09, inflow , Rebecca Sanchez     , GB09MOXA75652634210186,  8530.04, Received interest income from bank account.
2023-03-31, outflow, Karen Armstrong     , GB56PADX04568068853264,  -381.42, Paid vendor invoice for goods received.
2023-04-24, outflow, Brandy Petty        , GB32RUKK11183568733701, -5346.09, Paid vendor invoice for goods received.
2023-01-21, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964, -7324.10, Paid vendor invoice for goods received.
2023-04-11, inflow , Tiffany King        , GB47RXWF60856785587131,  9547.68, Received refund from vendor for overpayment.
2023-04-15, inflow , Michael Sutton      , GB89NCWE38453389542012,  9338.89, Received refund from vendor for overpayment.
2023-04-11, inflow , Jason Lynch         , GB36TYVN52756209723454,  6706.64, Received payment from customer for services rendered.
2023-04-25, outflow, Dr. Daniel Smith DVM, GB44RYPJ67026820826964, -8827.84, Withdrew cash for petty cash fund.
2023-03-08, outflow, Jennifer Hull       , GB28UAUN38172059435273, -1460.61, Transferred funds to another account for investment.
2023-03-08, outflow, Scott Young         , GB86BOFO25352976019831, -3835.78, Issued refund to customer for returned merchandise.
2023-01-17, outflow, Matthew Dorsey      , GB24DRMC35322496055362, -8343.58, Withdrew cash for petty cash fund.
